tconst	parentTconst	seasonNumber	episodeNumber
tt0059753	tt0060028	1	0
tt0061027	tt0060028	1	3
tt0094030	tt0092455	1	1
tt0108214	tt0106145	1	1
tt0111281	tt0092455	7	25
tt0114530	tt0112178	1	1
tt0162905	tt0092455	5	18
tt0170501	tt0092455	5	1
tt0286610	tt0244365	1	1
tt0394903	tt0060028	1	13
tt0394904	tt0060028	1	11
tt0394905	tt0060028	1	8
tt0394906	tt0106145	4	1
tt0394907	tt0106145	7	25
tt0394908	tt0112178	3	16
tt0394909	tt0112178	5	10
tt0394910	tt0112178	5	15
tt0394911	tt0112178	7	24
tt0394912	tt0112178	7	9
tt0394913	tt0112178	4	18
tt0394914	tt0112178	7	11
tt0394915	tt0112178	3	7
tt0394916	tt0112178	7	15
tt0572172	tt0244365	2	5
tt0572173	tt0244365	1	19
tt0572174	tt0244365	4	15
tt0572175	tt0244365	3	2
tt0572176	tt0244365	4	8
tt0572177	tt0244365	3	18
tt0572178	tt0244365	4	12
tt0572179	tt0244365	4	4
tt0572180	tt0244365	4	17
tt0572181	tt0244365	2	25
tt0572182	tt0244365	1	8
tt0572185	tt0244365	2	17
tt0572186	tt0244365	2	2
tt0572187	tt0244365	3	11
tt0572188	tt0244365	2	15
tt0572189	tt0244365	3	12
tt0572190	tt0244365	1	9
tt0572191	tt0244365	2	22
tt0572192	tt0244365	1	11
tt0572193	tt0244365	4	5
tt0572194	tt0244365	3	23
tt0572195	tt0244365	4	10
tt0572196	tt0244365	3	19
tt0572197	tt0244365	2	13
tt0572198	tt0244365	2	4
tt0572199	tt0244365	1	13
tt0572200	tt0244365	4	20
tt0572201	tt0244365	1	24
tt0572202	tt0244365	1	21
tt0572203	tt0244365	4	16
tt0572204	tt0244365	3	16
tt0572205	tt0244365	3	21
tt0572206	tt0244365	3	6
tt0572207	tt0244365	3	3
tt0572208	tt0244365	1	23
tt0572209	tt0244365	1	3
tt0572210	tt0244365	2	24
tt0572211	tt0244365	1	10
tt0572212	tt0244365	1	17
tt0572213	tt0244365	2	16
tt0572214	tt0244365	3	15
tt0572215	tt0244365	3	17
tt0572216	tt0244365	4	3
tt0572217	tt0244365	2	20
tt0572218	tt0244365	3	5
tt0572219	tt0244365	4	18
tt0572220	tt0244365	4	19
tt0572221	tt0244365	2	19
tt0572222	tt0244365	4	9
tt0572223	tt0244365	2	6
tt0572224	tt0244365	2	3
tt0572225	tt0244365	3	9
tt0572226	tt0244365	1	20
tt0572227	tt0244365	2	11
tt0572228	tt0244365	3	13
tt0572229	tt0244365	3	4
tt0572230	tt0244365	2	23
tt0572231	tt0244365	1	18
tt0572232	tt0244365	1	15
tt0572233	tt0244365	1	26
tt0572234	tt0244365	2	1
tt0572235	tt0244365	1	12
tt0572236	tt0244365	3	10
tt0572237	tt0244365	2	9
