tconst	ordering	nconst	category	job	characters
tt0059753	1	nm0001374	actor		"[""Captain Christopher Pike""]"
tt0059753	2	nm0647010	actress		"[""Vina""]"
tt0059753	3	nm0000559	actor		"[""Mr. Spock""]"
tt0059753	4	nm0000854	actress		"[""Number One""]"
tt0059753	5	nm0398466	actor		"[""Dr. Phillip Boyce""]"
tt0059753	6	nm0244454	actor		"[""Lt. José Tyler""]"
tt0059753	7	nm0329507	actress		"[""Yeoman J.M. Colt""]"
tt0059753	8	nm0122942	actor		"[""Bridge Crewmember""]"
tt0059753	9	nm0199859	actress		"[""Bridge Crewmember""]"
tt0059753	10	nm0240821	actor		"[""The Kalar Warrior""]"
tt0059753	11	nm0125111	director		
tt0061027	1	nm0000638	actor		"[""Captain James T. Kirk""]"
tt0061027	2	nm0000559	actor		"[""Mr. Spock""]"
tt0061027	3	nm0516972	actor		"[""Lt. Cmdr. Gary Mitchell""]"
tt0061027	4	nm0001419	actress		"[""Dr. Elizabeth Dehner""]"
tt0061027	5	nm0001786	actor		"[""Sulu""]"
tt0061027	6	nm0001150	actor		"[""Scott""]"
tt0061027	7	nm0371496	actor		"[""Alden""]"
tt0061027	8	nm0238249	actress		"[""Yeoman Smith""]"
tt0061027	9	nm0139824	actor		"[""Lt. Lee Kelso""]"
tt0061027	10	nm0280707	actor		"[""Doctor Piper""]"
tt0061027	11	nm0326360	director		
tt0094030	1	nm0001772	actor		"[""Captain Jean-Luc Picard""]"
tt0094030	2	nm0000408	actor		"[""Commander William Thomas 'Will' Riker""]"
tt0094030	3	nm0000996	actor		"[""Lieutenant Geordi La Forge""]"
tt0094030	4	nm0000344	actress		"[""Lieutenant Natasha 'Tasha' Yar""]"
tt0094030	5	nm0000373	actor		"[""Lieutenant Worf""]"
tt0094030	6	nm0000533	actress		"[""Doctor Beverly Crusher""]"
tt0094030	7	nm0000642	actress		"[""Counselor Deanna Troi""]"
tt0094030	8	nm0000653	actor		"[""Lieutenant Commander Data""]"
tt0094030	9	nm0000696	actor		"[""Wesley Crusher""]"
tt0094030	10	nm0209496	actor		"[""Q""]"
tt0094030	11	nm0001904	director		
tt0108214	1	nm0000984	actor		"[""Commander Benjamin 'Ben' Sisko""]"
tt0108214	2	nm0041281	actor		"[""Constable Odo""]"
tt0108214	3	nm0796502	actor		"[""Doctor Julian Bashir""]"
tt0108214	4	nm0000395	actress		"[""Lt. Jadzia Dax""]"
tt0108214	5	nm0517467	actor		"[""Jake Sisko""]"
tt0108214	6	nm0000538	actor		"[""Chief Miles O'Brien""]"
tt0108214	7	nm0001734	actor		"[""Quark""]"
tt0108214	8	nm0000684	actress		"[""Major Kira Nerys""]"
tt0108214	9	nm0001772	actor		"[""Captain Jean-Luc Picard""]"
tt0108214	10	nm0001772	actor		"[""Locutus of Borg""]"
tt0108214	11	nm0767779	actress		"[""Kai Opaka""]"
tt0108214	12	nm0141222	director		
tt0111281	1	nm0001772	actor		"[""Captain Jean-Luc Picard""]"
tt0111281	2	nm0000408	actor		"[""Commander William Thomas 'Will' Riker""]"
tt0111281	3	nm0000996	actor		"[""Lieutenant Commander Geordi La Forge""]"
tt0111281	4	nm0000373	actor		"[""Lieutenant Worf""]"
tt0111281	5	nm0000533	actress		"[""Doctor Beverly Crusher""]"
tt0111281	6	nm0000642	actress		"[""Counselor Deanna Troi""]"
tt0111281	7	nm0000653	actor		"[""Lieutenant Commander Data""]"
tt0111281	8	nm0476226	actor		"[""Adm. Nakamura""]"
tt0111281	9	nm0946686	actress		"[""Nurse Alyssa Ogawa""]"
tt0111281	10	nm0000344	actress		"[""Lieutenant Natasha 'Tasha' Yar""]"
tt0111281	11	nm0463926	director	director	
tt0114530	1	nm0000550	actress		"[""Capt. Kathryn Janeway""]"
tt0114530	2	nm0000296	actor		"[""Cmdr. Chakotay""]"
tt0114530	3	nm0206259	actress		"[""B'Elanna Torres""]"
tt0114530	4	nm0000497	actress		"[""Kes""]"
tt0114530	5	nm0000536	actor		"[""Tom Paris""]"
tt0114530	6	nm0680392	actor		"[""Neelix""]"
tt0114530	7	nm0000585	actor		"[""The Doctor""]"
tt0114530	8	nm0750913	actor		"[""Tuvok""]"
tt0114530	9	nm0910897	actor		"[""Ensign Harry Kim""]"
tt0114530	10	nm0486726	actor		"[""The Caretaker""]"
tt0114530	11	nm0463926	director	director	
tt0162905	1	nm0001772	actor		"[""Captain Jean-Luc Picard""]"
tt0162905	2	nm0000408	actor		"[""Commander William Thomas 'Will' Riker""]"
tt0162905	3	nm0000996	actor		"[""Lieutenant Commander Geordi La Forge""]"
tt0162905	4	nm0000373	actor		"[""Lieutenant Worf""]"
tt0162905	5	nm0000533	actress		"[""Dr. Beverly Crusher""]"
tt0162905	6	nm0000642	actress		"[""Counselor Deanna Troi""]"
tt0162905	7	nm0000653	actor		"[""Lieutenant Commander Data""]"
tt0162905	8	nm0000405	actress		"[""Ensign Ro Laren""]"
tt0162905	9	nm0946686	actress		"[""Nurse Alyssa Ogawa""]"
tt0162905	10	nm0001288	actor		"[""Capt. Morgan Bateson""]"
tt0162905	11	nm0000408	director	director	
tt0170501	1	nm0001772	actor		"[""Captain Jean-Luc Picard""]"
tt0170501	2	nm0000408	actor		"[""Commander William Thomas 'Will' Riker""]"
tt0170501	3	nm0000996	actor		"[""Lieutenant Commander Geordi La Forge""]"
tt0170501	4	nm0000373	actor		"[""Lieutenant Worf""]"
tt0170501	5	nm0000533	actress		"[""Dr. Beverly Crusher""]"
tt0170501	6	nm0000642	actress		"[""Counselor Deanna Troi""]"
tt0170501	7	nm0000653	actor		"[""Lieutenant Commander Data""]"
tt0170501	8	nm0000344	actress		"[""Sela""]"
tt0170501	9	nm0865302	actor		"[""Kurn""]"
tt0170501	10	nm0545277	actress		"[""Lursa""]"
tt0170501	11	nm0141222	director		
tt0286610	1	nm0000836	actor		"[""Capt. Jonathan Archer""]"
tt0286610	2	nm0082517	actor		"[""Dr. Phlox""]"
tt0286610	3	nm0086883	actress		"[""Sub-Cmdr. T'Pol""]"
tt0286610	4	nm0444098	actor		"[""Lt. Malcolm Reed""]"
tt0286610	5	nm0599719	actor		"[""Ensign Travis Mayweather""]"
tt0286610	6	nm0971133	actress		"[""Ensign Hoshi Sato""]"
tt0286610	7	nm0872997	actor		"[""Cmdr. Charles 'Trip' Tucker III""]"
tt0286610	8	nm0281387	actor		"[""Silik""]"
tt0286610	9	nm0164918	actress		"[""Suliban Sarin""]"
tt0286610	10	nm0001474	actor		"[""Klaang""]"
tt0286610	11	nm0176702	director	director	
tt0394903	1	nm0000638	actor		"[""Captain James T. Kirk""]"
tt0394903	2	nm0000559	actor		"[""Mr. Spock""]"
tt0394903	3	nm0608909	actor		"[""Karidian""]"
tt0394903	4	nm0026392	actress		"[""Lenore""]"
tt0394903	5	nm0001420	actor		"[""Dr. McCoy""]"
tt0394903	6	nm0926298	actress		"[""Yeoman Rand""]"
tt0394903	7	nm0629667	actress		"[""Uhura""]"
tt0394903	8	nm0765095	actor		"[""Dr. Leighton""]"
tt0394903	9	nm0636369	actress		"[""Martha Leighton""]"
tt0394903	10	nm0813889	actor		"[""Larry Matson""]"
tt0394903	11	nm0652631	director		
tt0394904	1	nm0000638	actor		"[""Captain James T. Kirk""]"
tt0394904	2	nm0000559	actor		"[""Mr. Spock""]"
tt0394904	5	nm0861943	actor		"[""Commodore José Mendez""]"
tt0394904	11	nm0001420	actor		"[""Dr. McCoy""]"
tt0394904	12	nm0200022	director		
tt0394905	1	nm0000638	actor		"[""Captain James T. Kirk""]"
tt0394905	2	nm0000559	actor		"[""Mr. Spock""]"
tt0394905	3	nm0200981	actress		"[""Miri""]"
tt0394905	4	nm0689488	actor		"[""Jahn""]"
tt0394905	5	nm0001420	actor		"[""Dr. McCoy""]"
tt0394905	6	nm0926298	actress		"[""Yeoman Rand""]"
tt0394905	7	nm0852698	actor		"[""Jahn's Friend""]"
tt0394905	8	nm0566962	actor		"[""Boy Creature""]"
tt0394905	9	nm0281057	actress		"[""Blonde Girl""]"
tt0394905	10	nm0568544	actor		"[""Redheaded Boy""]"
tt0394905	11	nm0568546	director		
tt0394906	1	nm0000984	actor		"[""Captain Benjamin 'Ben' Sisko""]"
tt0394906	2	nm0041281	actor		"[""Constable Odo""]"
tt0394906	3	nm0000373	actor		"[""Lt. Cmdr. Worf""]"
tt0394906	4	nm0000395	actress		"[""Lt. Cmdr. Jadzia Dax""]"
tt0394906	5	nm0517467	actor		"[""Jake Sisko""]"
tt0394906	6	nm0000538	actor		"[""Chief Miles O'Brien""]"
tt0394906	7	nm0001734	actor		"[""Quark""]"
tt0394906	8	nm0796502	actor		"[""Doctor Julian Bashir""]"
tt0394906	9	nm0000684	actress		"[""Major Kira Nerys""]"
tt0394906	10	nm0425982	actress		"[""Kasidy Yates""]"
tt0394906	11	nm0176702	director		
tt0394907	1	nm0000984	actor		"[""Captain Benjamin 'Ben' Sisko""]"
tt0394907	2	nm0041281	actor		"[""Constable Odo""]"
tt0394907	3	nm0207498	actress		"[""Lieutenant Ezri Dax""]"
tt0394907	4	nm0000373	actor		"[""Lt. Cmdr. Worf""]"
tt0394907	5	nm0517467	actor		"[""Jake Sisko""]"
tt0394907	6	nm0000538	actor		"[""Chief Miles O'Brien""]"
tt0394907	7	nm0001734	actor		"[""Quark""]"
tt0394907	8	nm0796502	actor		"[""Doctor Julian Bashir""]"
tt0394907	9	nm0000684	actress		"[""Colonel Kira Nerys""]"
tt0394907	10	nm0001034	actress		"[""Keiko O'Brien""]"
tt0394907	11	nm0471862	director		
tt0394908	1	nm0000550	actress		"[""Capt. Kathryn Janeway""]"
tt0394908	2	nm0000296	actor		"[""Cmdr. Chakotay""]"
tt0394908	3	nm0206259	actress		"[""Lt. B'Elanna Torres""]"
tt0394908	4	nm0000497	actress		"[""Kes""]"
tt0394908	5	nm0000536	actor		"[""Lt. Tom Paris""]"
tt0394908	6	nm0680392	actor		"[""Neelix""]"
tt0394908	7	nm0000585	actor		"[""The Doctor""]"
tt0394908	8	nm0750913	actor		"[""Lt. Tuvok""]"
tt0394908	9	nm0910897	actor		"[""Ensign Harry Kim""]"
tt0394908	10	nm0256717	actor		"[""Ensign Vorik""]"
tt0394908	11	nm0732367	director		
tt0394909	1	nm0000550	actress		"[""Capt. Kathryn Janeway""]"
tt0394909	2	nm0000296	actor		"[""Cmdr. Chakotay""]"
tt0394909	3	nm0206259	actress		"[""Lt. B'Elanna Torres""]"
tt0394909	4	nm0000536	actor		"[""Ensign Tom Paris""]"
tt0394909	5	nm0680392	actor		"[""Neelix""]"
tt0394909	6	nm0000585	actor		"[""The Doctor""]"
tt0394909	7	nm0750913	actor		"[""Lt. Tuvok""]"
tt0394909	8	nm0005394	actress		"[""Seven of Nine""]"
tt0394909	9	nm0910897	actor		"[""Ensign Harry Kim""]"
tt0394909	10	nm0362862	actor		"[""Devore Inspector Kashyk""]"
tt0394909	11	nm0484464	director		
tt0394910	1	nm0000550	actress		"[""Capt. Kathryn Janeway""]"
tt0394910	2	nm0000296	actor		"[""Cmdr. Chakotay""]"
tt0394910	3	nm0206259	actress		"[""Lt. B'Elanna Torres""]"
tt0394910	4	nm0000536	actor		"[""Ensign Tom Paris""]"
tt0394910	5	nm0680392	actor		"[""Neelix""]"
tt0394910	6	nm0000585	actor		"[""The Doctor""]"
tt0394910	7	nm0750913	actor		"[""Lt. Tuvok""]"
tt0394910	8	nm0005394	actress		"[""Seven of Nine""]"
tt0394910	9	nm0910897	actor		"[""Ensign Harry Kim""]"
tt0394910	10	nm0860749	actress		"[""Borg Queen""]"
tt0394910	11	nm0092853	director	director	
tt0394910	12	nm0934664	director	director	
tt0394911	1	nm0000550	actress		"[""Capt. Kathryn Janeway""]"
tt0394911	2	nm0000296	actor		"[""Cmdr. Chakotay""]"
tt0394911	3	nm0206259	actress		"[""Lt. B'Elanna Torres""]"
tt0394911	4	nm0000536	actor		"[""Lt. Tom Paris""]"
tt0394911	5	nm0680392	actor		"[""Neelix""]"
tt0394911	6	nm0000585	actor		"[""The Doctor""]"
