tconst	averageRating	numVotes
tt0059753	7.6	7924
tt0061027	7.7	7140
tt0094030	6.9	7997
tt0108214	7.6	5058
tt0111281	9.1	9755
tt0114530	7.4	4629
tt0162905	8.9	5339
tt0170501	8.4	3884
tt0286610	7.6	5175
tt0394903	7.1	4769
tt0394904	8.2	5493
tt0394905	6.9	5063
tt0394906	9.0	3370
tt0394907	8.9	2975
tt0394908	7.1	2144
tt0394909	7.9	2434
tt0394910	8.5	2549
tt0394911	8.6	3129
tt0394912	7.6	2061
tt0394913	7.6	2327
tt0394914	7.0	2021
tt0394915	5.8	2316
tt0394916	7.6	2026
tt0572172	6.6	2132
tt0572173	7.5	2202
tt0572174	7.8	1768
tt0572175	7.7	1853
tt0572176	8.0	1827
tt0572177	8.5	1951
tt0572178	8.4	1857
tt0572179	7.7	1922
tt0572180	6.8	1810
tt0572181	6.9	1781
tt0572182	7.1	2172
tt0572185	6.8	1804
tt0572186	8.5	2729
tt0572187	7.4	1982
tt0572188	7.9	1997
tt0572189	6.7	1883
tt0572190	7.2	2216
tt0572191	7.6	2305
tt0572192	7.6	2158
tt0572193	7.7	1832
tt0572194	8.5	1824
tt0572195	6.2	1793
tt0572196	8.1	1859
tt0572197	7.3	1897
tt0572198	8.0	2192
tt0572199	8.0	2410
tt0572200	7.6	1744
tt0572201	6.8	1924
tt0572202	7.3	1976
tt0572203	7.9	1737
tt0572204	7.4	1887
tt0572205	7.9	1897
tt0572206	6.8	1823
tt0572207	6.0	1918
tt0572208	8.0	2129
tt0572209	7.0	2339
tt0572210	7.5	1912
tt0572211	6.5	2102
tt0572212	7.0	2047
tt0572213	8.1	1975
tt0572214	7.3	1870
tt0572215	6.6	1783
tt0572216	7.8	2482
tt0572217	6.5	1805
tt0572218	7.4	1912
tt0572219	8.2	2284
tt0572220	8.1	2151
tt0572221	7.6	1944
tt0572222	8.4	1879
tt0572223	6.6	1967
tt0572224	7.4	2033
tt0572225	6.9	2004
tt0572226	7.0	2020
tt0572227	6.4	2014
tt0572228	8.4	1997
tt0572229	6.9	1859
tt0572230	8.5	2857
tt0572231	6.5	2021
tt0572232	7.7	2111
tt0572233	8.3	2093
tt0572234	8.2	2595
tt0572235	7.5	2148
tt0572236	8.4	2410
tt0572237	7.4	1938
tt0572238	7.1	2017
tt0572239	7.5	2004
tt0572240	7.3	1952
tt0572241	7.3	1885
tt0572242	6.9	2339
tt0572243	8.1	1890
tt0572244	6.5	2270
tt0572245	8.1	1846
tt0572246	8.2	1828
tt0572247	8.0	2450
tt0572248	7.8	1852
tt0572249	7.0	1769
tt0572250	7.4	1921
tt0572251	6.9	1872
tt0572252	8.4	1811
tt0572253	6.9	1838
tt0572254	8.2	1949
tt0572255	8.2	1870
tt0572256	7.9	1805
tt0572257	6.8	1873
tt0572258	7.5	1815
tt0572259	7.7	1944
tt0572260	5.3	2881
tt0572261	8.6	2443
tt0572262	6.6	2021
tt0572263	7.2	2407
tt0572264	8.4	1845
tt0572265	6.9	1951
tt0572266	6.7	1986
tt0572267	8.5	1904
tt0708412	7.7	4323
tt0708413	6.7	3716
tt0708414	8.0	4721
tt0708415	8.1	3844
tt0708416	8.6	5355
tt0708417	5.2	3823
tt0708418	7.9	5101
tt0708419	7.6	4255
tt0708420	8.8	6406
tt0708421	7.0	3710
tt0708422	7.5	3843
tt0708423	6.2	4077
tt0708424	7.0	6183
tt0708425	7.4	4495
tt0708426	7.4	4909
tt0708427	7.7	3774
tt0708428	7.0	3579
tt0708429	8.1	4578
tt0708430	7.1	3532
tt0708431	6.7	3845
tt0708432	7.3	4240
