proj_ep_id,nconst,name,character_name,billing_order,is_main_cast
0010100,nm0001374,Jeffrey Hunter,Captain Christopher Pike,1,1
0010100,nm0647010,Susan Oliver,Vina,2,1
0010100,nm0000559,Leonard Nimoy,Mr. Spock,3,1
0010100,nm0000854,Majel Barrett,Number One,4,1
0010100,nm0398466,John Hoyt,Dr. Phillip Boyce,5,1
0010100,nm0244454,Peter Duryea,Lt. José Tyler,6,1
0010100,nm0329507,Laurel Goodwin,Yeoman J.M. Colt,7,1
0010100,nm0122942,John Burnside,Bridge Crewmember,8,1
0010100,nm0199859,Carol Daniels,Bridge Crewmember,9,1
0010100,nm0240821,Michael Dugan,The Kalar Warrior,10,1
0010103,nm0000638,William Shatner,Captain James T. Kirk,1,1
0010103,nm0000559,Leonard Nimoy,Mr. Spock,2,1
0010103,nm0516972,Gary Lockwood,Lt. Cmdr. Gary Mitchell,3,1
0010103,nm0001419,Sally Kellerman,Dr. Elizabeth Dehner,4,1
0010103,nm0001786,George Takei,Sulu,5,1
0010103,nm0001150,James Doohan,Scott,6,1
0010103,nm0371496,Lloyd Haynes,Alden,7,1
0010103,nm0238249,Andrea Dromm,Yeoman Smith,8,1
0010103,nm0139824,Paul Carr,Lt. Lee Kelso,9,1
0010103,nm0280707,Paul Fix,Doctor Piper,10,1
0030101,nm0001772,Patrick Stewart,Captain Jean-Luc Picard,1,1
0030101,nm0000408,Jonathan Frakes,Commander William Thomas 'Will' Riker,2,1
0030101,nm0000996,LeVar Burton,Lieutenant Geordi La Forge,3,1
0030101,nm0000344,Denise Crosby,Lieutenant Natasha 'Tasha' Yar,4,1
0030101,nm0000373,Michael Dorn,Lieutenant Worf,5,1
0030101,nm0000533,Gates McFadden,Doctor Beverly Crusher,6,1
0030101,nm0000642,Marina Sirtis,Counselor Deanna Troi,7,1
0030101,nm0000653,Brent Spiner,Lieutenant Commander Data,8,1
0030101,nm0000696,Wil Wheaton,Wesley Crusher,9,1
0030101,nm0209496,John de Lancie,Q,10,1
0040101,nm0000984,Avery Brooks,Commander Benjamin 'Ben' Sisko,1,1
0040101,nm0041281,Rene Auberjonois,Constable Odo,2,1
0040101,nm0796502,Alexander Siddig,Doctor Julian Bashir,3,1
0040101,nm0000395,Terry Farrell,Lt. Jadzia Dax,4,1
0040101,nm0517467,Cirroc Lofton,Jake Sisko,5,1
0040101,nm0000538,Colm Meaney,Chief Miles O'Brien,6,1
0040101,nm0001734,Armin Shimerman,Quark,7,1
0040101,nm0000684,Nana Visitor,Major Kira Nerys,8,1
0040101,nm0001772,Patrick Stewart,Captain Jean-Luc Picard,9,1
0040101,nm0001772,Patrick Stewart,Locutus of Borg,10,1
0040101,nm0767779,Camille Saviola,Kai Opaka,11,0
0030725,nm0001772,Patrick Stewart,Captain Jean-Luc Picard,1,1
0030725,nm0000408,Jonathan Frakes,Commander William Thomas 'Will' Riker,2,1
0030725,nm0000996,LeVar Burton,Lieutenant Commander Geordi La Forge,3,1
0030725,nm0000373,Michael Dorn,Lieutenant Worf,4,1
0030725,nm0000533,Gates McFadden,Doctor Beverly Crusher,5,1
0030725,nm0000642,Marina Sirtis,Counselor Deanna Troi,6,1
0030725,nm0000653,Brent Spiner,Lieutenant Commander Data,7,1
0030725,nm0476226,Clyde Kusatsu,Adm. Nakamura,8,1
0030725,nm0946686,Patti Yasutake,Nurse Alyssa Ogawa,9,1
0030725,nm0000344,Denise Crosby,Lieutenant Natasha 'Tasha' Yar,10,1
0050101,nm0000550,Kate Mulgrew,Capt. Kathryn Janeway,1,1
0050101,nm0000296,Robert Beltran,Cmdr. Chakotay,2,1
0050101,nm0206259,Roxann Dawson,B'Elanna Torres,3,1
0050101,nm0000497,Jennifer Lien,Kes,4,1
0050101,nm0000536,Robert Duncan McNeill,Tom Paris,5,1
0050101,nm0680392,Ethan Phillips,Neelix,6,1
0050101,nm0000585,Robert Picardo,The Doctor,7,1
0050101,nm0750913,Tim Russ,Tuvok,8,1
0050101,nm0910897,Garrett Wang,Ensign Harry Kim,9,1
0050101,nm0486726,Basil Langton,The Caretaker,10,1
0030518,nm0001772,Patrick Stewart,Captain Jean-Luc Picard,1,1
0030518,nm0000408,Jonathan Frakes,Commander William Thomas 'Will' Riker,2,1
0030518,nm0000996,LeVar Burton,Lieutenant Commander Geordi La Forge,3,1
0030518,nm0000373,Michael Dorn,Lieutenant Worf,4,1
0030518,nm0000533,Gates McFadden,Dr. Beverly Crusher,5,1
0030518,nm0000642,Marina Sirtis,Counselor Deanna Troi,6,1
0030518,nm0000653,Brent Spiner,Lieutenant Commander Data,7,1
0030518,nm0000405,Michelle Forbes,Ensign Ro Laren,8,1
0030518,nm0946686,Patti Yasutake,Nurse Alyssa Ogawa,9,1
0030518,nm0001288,Kelsey Grammer,Capt. Morgan Bateson,10,1
0030501,nm0001772,Patrick Stewart,Captain Jean-Luc Picard,1,1
0030501,nm0000408,Jonathan Frakes,Commander William Thomas 'Will' Riker,2,1
0030501,nm0000996,LeVar Burton,Lieutenant Commander Geordi La Forge,3,1
0030501,nm0000373,Michael Dorn,Lieutenant Worf,4,1
0030501,nm0000533,Gates McFadden,Dr. Beverly Crusher,5,1
0030501,nm0000642,Marina Sirtis,Counselor Deanna Troi,6,1
0030501,nm0000653,Brent Spiner,Lieutenant Commander Data,7,1
0030501,nm0000344,Denise Crosby,Sela,8,1
0030501,nm0865302,Tony Todd,Kurn,9,1
0030501,nm0545277,Barbara March,Lursa,10,1
0060101,nm0000836,Scott Bakula,Capt. Jonathan Archer,1,1
0060101,nm0082517,John Billingsley,Dr. Phlox,2,1
0060101,nm0086883,Jolene,Sub-Cmdr. T'Pol,3,1
0060101,nm0444098,Dominic Keating,Lt. Malcolm Reed,4,1
0060101,nm0599719,Anthony Montgomery,Ensign Travis Mayweather,5,1
