proj_ep_id,nconst,character_name_norm,name,billing_order,is_main_cast,character_name_raw
0010100,nm0000559,Spock,Leonard Nimoy,3,1,Mr. Spock
0010100,nm0000854,Number One,Majel Barrett,4,1,Number One
0010100,nm0001374,Christopher Pike,Jeffrey Hunter,1,1,Captain Christopher Pike
0010100,nm0122942,Bridge Crewmember,John Burnside,8,1,Bridge Crewmember
0010100,nm0199859,Bridge Crewmember,Carol Daniels,9,1,Bridge Crewmember
0010100,nm0240821,The Kalar Warrior,Michael Dugan,10,1,The Kalar Warrior
0010100,nm0244454,José Tyler,Peter Duryea,6,1,Lt. José Tyler
0010100,nm0329507,Yeoman J.M. Colt,Laurel Goodwin,7,1,Yeoman J.M. Colt
0010100,nm0398466,Phillip Boyce,John Hoyt,5,1,Dr. Phillip Boyce
0010100,nm0647010,Vina,Susan Oliver,2,1,Vina
0010101,nm0000559,Spock,Leonard Nimoy,2,1,Mr. Spock
0010101,nm0000638,James T. Kirk,William Shatner,1,1,Captain James T. Kirk
0010101,nm0001420,McCoy,DeForest Kelley,5,1,Dr. McCoy
0010101,nm0001786,Sulu,George Takei,7,1,Sulu
0010101,nm0049284,Nancy Crater,Jeanne Bal,3,1,Nancy Crater
0010101,nm0629667,Uhura,Nichelle Nichols,8,1,Uhura
0010101,nm0753086,Prof. Robert Crater,Alfred Ryder,4,1,Prof. Robert Crater
0010101,nm0914531,Green,Bruce Watson,9,1,Green
0010101,nm0926298,Yeoman Janice Rand,Grace Lee Whitney,6,1,Yeoman Janice Rand
0010101,nm0953651,Darnell,Michael Zaslow,10,1,Darnell
0010102,nm0000559,Spock,Leonard Nimoy,2,1,Mr. Spock
0010102,nm0000638,James T. Kirk,William Shatner,1,1,Captain James T. Kirk
0010102,nm0001420,McCoy,DeForest Kelley,4,1,Dr. McCoy
0010102,nm0252190,Navigator,Don Eitner,9,1,Navigator
0010102,nm0574091,Tina Lawton,Pat McNulty,10,1,Tina Lawton
0010102,nm0585601,Tom Nellis,Dallas Mitchell,8,1,Tom Nellis
0010102,nm0629667,Uhura,Nichelle Nichols,6,1,Uhura
0010102,nm0829260,Ramart,Charles Stewart,7,1,Captain Ramart
0010102,nm0907480,Charlie Evans,Robert Walker Jr.,3,1,Charlie Evans
0010102,nm0926298,Yeoman Rand,Grace Lee Whitney,5,1,Yeoman Rand
0010103,nm0000559,Spock,Leonard Nimoy,2,1,Mr. Spock
0010103,nm0000638,James T. Kirk,William Shatner,1,1,Captain James T. Kirk
0010103,nm0001150,Scott,James Doohan,6,1,Scott
0010103,nm0001419,Elizabeth Dehner,Sally Kellerman,4,1,Dr. Elizabeth Dehner
0010103,nm0001786,Sulu,George Takei,5,1,Sulu
0010103,nm0139824,Lee Kelso,Paul Carr,9,1,Lt. Lee Kelso
0010103,nm0238249,Yeoman Smith,Andrea Dromm,8,1,Yeoman Smith
0010103,nm0280707,Piper,Paul Fix,10,1,Doctor Piper
0010103,nm0371496,Alden,Lloyd Haynes,7,1,Alden
0010103,nm0516972,Gary Mitchell,Gary Lockwood,3,1,Lt. Cmdr. Gary Mitchell
0010104,nm0000559,Spock,Leonard Nimoy,2,1,Mr. Spock
0010104,nm0000638,James T. Kirk,William Shatner,1,1,Captain James T. Kirk
0010104,nm0000854,Christine,"",4,1,Christine
0010104,nm0001150,Scott,James Doohan,9,1,Scott
0010104,nm0001420,McCoy,DeForest Kelley,6,1,Dr. McCoy
0010104,nm0001786,Sulu,George Takei,8,1,Sulu
0010104,nm0404953,Riley,Bruce Hyde,5,1,Riley
0010104,nm0609088,Tormolen,Stewart Moss,3,1,Tormolen
0010104,nm0629667,Uhura,Nichelle Nichols,10,1,Uhura
0010104,nm0926298,Yeoman Rand,Grace Lee Whitney,7,1,Yeoman Rand
0010105,nm0000559,Spock,Leonard Nimoy,2,1,Mr. Spock
0010105,nm0000638,James T. Kirk,William Shatner,1,1,Captain James T. Kirk
0010105,nm0001150,Scott,James Doohan,6,1,Scott
0010105,nm0001420,McCoy,DeForest Kelley,3,1,Dr. McCoy
0010105,nm0001786,Sulu,George Takei,5,1,Sulu
0010105,nm0329478,Farrell,Jim Goodwin,9,1,Farrell
0010105,nm0534579,Fisher,Ed Madden,7,1,Fisher
0010105,nm0629667,Uhura,Nichelle Nichols,10,1,Uhura
0010105,nm0926298,Yeoman Rand,Grace Lee Whitney,4,1,Yeoman Rand
0010105,nm1343656,Wilson,Garland Thompson,8,1,Wilson
0010106,nm0000559,Spock,Leonard Nimoy,2,1,Mr. Spock
0010106,nm0000638,James T. Kirk,William Shatner,1,1,Captain James T. Kirk
0010106,nm0001150,Scott,James Doohan,8,1,Scott
0010106,nm0001420,McCoy,DeForest Kelley,5,1,Dr. McCoy
0010106,nm0001786,Sulu,George Takei,9,1,Sulu
0010106,nm0138354,Harry Mudd,Roger C. Carmel,3,1,Harry Mudd
0010106,nm0218911,Magda,Susan Denberg,7,1,Magda
0010106,nm0329478,Farrell,Jim Goodwin,10,1,Farrell
0010106,nm0824606,Eve McHuron,Karen Steele,4,1,Eve McHuron
0010106,nm0861924,Ruth,Maggie Thrett,6,1,Ruth
0010107,nm0000559,Spock,Leonard Nimoy,2,1,Mr. Spock
0010107,nm0000638,James T. Kirk,William Shatner,1,1,Captain James T. Kirk
0010107,nm0000854,Christine Chapel,Majel Barrett,6,1,Christine Chapel
0010107,nm0017003,Rayburn,Budd Albright,10,1,Rayburn
0010107,nm0059650,Brown,Harry Basch,8,1,Brown
0010107,nm0144252,Ruk,Ted Cassidy,5,1,Ruk
0010107,nm0212605,Mathews,Vince Deadrick Sr.,9,1,Mathews
0010107,nm0414046,Andrea,Sherry Jackson,4,1,Andrea
0010107,nm0629667,Uhura,Nichelle Nichols,7,1,Uhura
0010107,nm0835021,Roger Korby,Michael Strong,3,1,Dr. Roger Korby
0010108,nm0000559,Spock,Leonard Nimoy,2,1,Mr. Spock
0010108,nm0000638,James T. Kirk,William Shatner,1,1,Captain James T. Kirk
0010108,nm0001420,McCoy,DeForest Kelley,5,1,Dr. McCoy
0010108,nm0200981,Miri,Kim Darby,3,1,Miri
0010108,nm0281057,Blonde Girl,Kellie Flanagan,9,1,Blonde Girl
0010108,nm0566962,Boy Creature,Ed McCready,8,1,Boy Creature
0010108,nm0568544,Redheaded Boy,Stephen McEveety,10,1,Redheaded Boy
0010108,nm0689488,Jahn,Michael J. Pollard,4,1,Jahn
0010108,nm0852698,Jahn's Friend,Keith Taylor,7,1,Jahn's Friend
0010108,nm0926298,Yeoman Rand,Grace Lee Whitney,6,1,Yeoman Rand
0010109,nm0000559,Spock,Leonard Nimoy,2,1,Mr. Spock
0010109,nm0000638,James T. Kirk,William Shatner,1,1,Captain James T. Kirk
0010109,nm0001420,McCoy,DeForest Kelley,4,1,Dr. McCoy
0010109,nm0036143,First Crewman,John Arndt,9,1,First Crewman
0010109,nm0339834,Tristan Adams,James Gregory,3,1,Dr. Tristan Adams
0010109,nm0384494,Helen Noel,Marianna Hill,6,1,Helen Noel
0010109,nm0629667,Uhura,Nichelle Nichols,7,1,Uhura
0010109,nm0913748,Lethe,Susanne Wasson,8,1,Lethe
0010109,nm0940971,Simon van Gelder,Morgan Woodward,5,1,Dr. Simon van Gelder
0010109,nm1025014,Transportation Man,Anthony Larry Paul,10,1,Transportation Man
0010110,nm0000559,Spock,Leonard Nimoy,2,1,Mr. Spock
0010110,nm0000638,James T. Kirk,William Shatner,1,1,Captain James T. Kirk
0010110,nm0000854,Nurse Christine Chapel,Majel Barrett,10,1,Nurse Christine Chapel
0010110,nm0001150,Scott,James Doohan,8,1,Scott
0010110,nm0001420,McCoy,DeForest Kelley,5,1,Dr. McCoy
0010110,nm0001786,Sulu,George Takei,7,1,Sulu
0010110,nm0130083,Dave Bailey,Anthony D. Call,3,1,Dave Bailey
0010110,nm0397212,Balok,Clint Howard,4,1,Balok
0010110,nm0629667,Uhura,Nichelle Nichols,9,1,Uhura
0010110,nm0926298,Yeoman Rand,Grace Lee Whitney,6,1,Yeoman Rand
0010111,nm0000559,Spock,Leonard Nimoy,2,1,Mr. Spock
0010111,nm0000638,James T. Kirk,William Shatner,1,1,Captain James T. Kirk
0010111,nm0001420,McCoy,DeForest Kelley,11,0,Dr. McCoy
0010111,nm0861943,Commodore José Mendez,Malachi Throne,5,1,Commodore José Mendez
0010112,nm0000559,Spock,Leonard Nimoy,2,1,Mr. Spock
0010112,nm0000638,James T. Kirk,William Shatner,1,1,Captain James T. Kirk
0010112,nm0861943,Commodore José Mendez,Malachi Throne,5,1,Commodore José Mendez
0010113,nm0000559,Spock,Leonard Nimoy,2,1,Mr. Spock
0010113,nm0000638,James T. Kirk,William Shatner,1,1,Captain James T. Kirk
0010113,nm0001420,McCoy,DeForest Kelley,5,1,Dr. McCoy
0010113,nm0026392,Lenore,Barbara Anderson,4,1,Lenore
0010113,nm0608909,Karidian,Arnold Moss,3,1,Karidian
0010113,nm0629667,Uhura,Nichelle Nichols,7,1,Uhura
0010113,nm0636369,Martha Leighton,Natalie Norwick,9,1,Martha Leighton
0010113,nm0765095,Leighton,William Sargent,8,1,Dr. Leighton
