proj_ep_id,ep_id,series,ep_title,season,order_ep,air_date,avg_rating,num_votes,popularity
0010100,tt0059753,TOS,The Cage,1,0,1988-10-04,7.6,7924,
0010103,tt0061027,TOS,Mudd’s Women,1,3,1966-10-13,7.7,7140,
0030101,tt0094030,TNG,Encounter at Farpoint,1,1,1987-09-28,6.9,7997,
0040101,tt0108214,DS9,Emissary,1,1,1993-01-03,7.6,5058,
0030725,tt0111281,TNG,All Good Things…,7,25,1994-05-23,9.1,9755,
0050101,tt0114530,VOY,Caretaker,1,1,1995-01-16,7.4,4629,
0030518,tt0162905,TNG,Cause and Effect,5,18,1992-03-23,8.9,5339,
0030501,tt0170501,TNG,Redemption II,5,1,1991-09-23,8.4,3884,
0060101,tt0286610,ENT,Broken Bow,1,1,2001-09-26,7.6,5175,
0010113,tt0394903,TOS,The Galileo Seven,1,13,1967-01-05,7.1,4769,
0010111,tt0394904,TOS,Miri,1,11,1966-10-27,8.2,5493,
0010108,tt0394905,TOS,Balance of Terror,1,8,1966-12-15,6.9,5063,
0040401,tt0394906,DS9,The Way of the Warrior,4,1,1995-10-02,9.0,3370,
0040725,tt0394907,DS9,What You Leave Behind,7,25,1999-06-02,8.9,2975,
0050316,tt0394908,VOY,Blood Fever,3,16,1997-02-05,7.1,2144,
0050510,tt0394909,VOY,Counterpoint,5,10,1998-12-16,7.9,2434,
0050515,tt0394910,VOY,Dark Frontier,5,15,1999-02-17,8.5,2549,
0050724,tt0394911,VOY,Renaissance Man,7,24,2001-05-16,8.6,3129,
0050709,tt0394912,VOY,Flesh and Blood,7,9,2000-11-29,7.6,2061,
0050418,tt0394913,VOY,The Killing Game,4,18,1998-03-04,7.6,2327,
0050711,tt0394914,VOY,Shattered,7,11,2001-01-17,7.0,2021,
0050307,tt0394915,VOY,Sacred Ground,3,7,1996-10-30,5.8,2316,
0050715,tt0394916,VOY,The Void,7,15,2001-02-14,7.6,2026,
0060205,tt0572172,ENT,A Night in Sickbay,2,5,2002-10-16,6.6,2132,
0060119,tt0572173,ENT,Acquisition,1,19,2002-03-27,7.5,2202,
0060415,tt0572174,ENT,Affliction,4,15,2005-02-18,7.8,1768,
0060302,tt0572175,ENT,Anomaly,3,2,2003-09-17,7.7,1853,
0060408,tt0572176,ENT,Awakening,4,8,2004-11-26,8.0,1827,
0060318,tt0572177,ENT,Azati Prime,3,18,2004-03-03,8.5,1951,
0060412,tt0572178,ENT,Babel One,4,12,2005-01-28,8.4,1857,
0060404,tt0572179,ENT,Borderland,4,4,2004-10-29,7.7,1922,
0060417,tt0572180,ENT,Bound,4,17,2005-04-15,6.8,1810,
0060225,tt0572181,ENT,Bounty,2,25,2003-05-14,6.9,1781,
0060108,tt0572182,ENT,Breaking the Ice,1,8,2001-11-07,7.1,2172,
0060217,tt0572185,ENT,Canamar,2,17,2003-02-26,6.8,1804,
0060202,tt0572186,ENT,Carbon Creek,2,2,2002-09-25,8.5,2729,
0060311,tt0572187,ENT,Carpenter Street,3,11,2003-11-26,7.4,1982,
0060215,tt0572188,ENT,Cease Fire,2,15,2003-02-12,7.9,1997,
0060312,tt0572189,ENT,Chosen Realm,3,12,2004-01-14,6.7,1883,
0060109,tt0572190,ENT,Civilization,1,9,2001-11-14,7.2,2216,
0060222,tt0572191,ENT,Cogenitor,2,22,2003-04-30,7.6,2305,
