proj_ep_id,ep_id,series,ep_title,season,order_ep,air_date,avg_rating,num_votes,popularity
10100,tt0059753,TOS,The Cage,1,0,1988-10-04,7.6,7924.0,0.32012122664638626
10103,tt0061027,TOS,Mudd’s Women,1,3,1966-10-13,7.7,7140.0,0.4444401496158572
30101,tt0094030,TNG,Encounter at Farpoint,1,1,1987-09-28,6.9,7997.0,-0.44023365651352075
40101,tt0108214,DS9,Emissary,1,1,1993-01-03,7.6,5058.0,0.15357538625101932
30725,tt0111281,TNG,All Good Things…,7,25,1994-05-23,9.1,9755.0,1.8884339910552703
50101,tt0114530,VOY,Caretaker,1,1,1995-01-16,7.4,4629.0,0.11013343708093423
30518,tt0162905,TNG,Cause and Effect,5,18,1992-03-23,8.9,5339.0,1.676736932185381
30501,tt0170501,TNG,Redemption II,5,1,1991-09-23,8.4,3884.0,1.1474942850106555
60101,tt0286610,ENT,Broken Bow,1,1,2001-09-26,7.6,5175.0,0.18857529976871726
10113,tt0394903,TOS,The Galileo Seven,1,13,1967-01-05,7.1,4769.0,-0.30147338820096503
10111,tt0394904,TOS,Miri,1,11,1966-10-27,8.2,5493.0,1.0660347644632073
10108,tt0394905,TOS,Balance of Terror,1,8,1966-12-15,6.9,5063.0,-0.5501112341399046
40401,tt0394906,DS9,The Way of the Warrior,4,1,1995-10-02,9.0,3370.0,1.9418426242316464
40725,tt0394907,DS9,What You Leave Behind,7,25,1999-06-02,8.9,2975.0,1.8141092500901734
50316,tt0394908,VOY,Blood Fever,3,16,1997-02-05,7.1,2144.0,-0.3010313946878859
50510,tt0394909,VOY,Counterpoint,5,10,1998-12-16,7.9,2434.0,0.7954081566956328
50515,tt0394910,VOY,Dark Frontier,5,15,1999-02-17,8.5,2549.0,1.6177378202332706
50724,tt0394911,VOY,Renaissance Man,7,24,2001-05-16,8.6,3129.0,1.75479276415621
50709,tt0394912,VOY,Flesh and Blood,7,9,2000-11-29,7.6,2061.0,0.3842433249268127
50418,tt0394913,VOY,The Killing Game,4,18,1998-03-04,7.6,2327.0,0.3842433249268127
50711,tt0394914,VOY,Shattered,7,11,2001-01-17,7.0,2021.0,-0.43808633861082513
50307,tt0394915,VOY,Sacred Ground,3,7,1996-10-30,5.8,2316.0,-2.082745665686102
50715,tt0394916,VOY,The Void,7,15,2001-02-14,7.6,2026.0,0.3842433249268127
60205,tt0572172,ENT,A Night in Sickbay,2,5,2002-10-16,6.6,2132.0,-1.3017778758227556
60119,tt0572173,ENT,Acquisition,1,19,2002-03-27,7.5,2202.0,0.039539982209570494
60415,tt0572174,ENT,Affliction,4,15,2005-02-18,7.8,1768.0,0.48664593488701213
60302,tt0572175,ENT,Anomaly,3,2,2003-09-17,7.7,1853.0,0.33761061732786535
60408,tt0572176,ENT,Awakening,4,8,2004-11-26,8.0,1827.0,0.7847165700053069
60318,tt0572177,ENT,Azati Prime,3,18,2004-03-03,8.5,1951.0,1.5298931578010435
60412,tt0572178,ENT,Babel One,4,12,2005-01-28,8.4,1857.0,1.3808578402418967
60404,tt0572179,ENT,Borderland,4,4,2004-10-29,7.7,1922.0,0.33761061732786535
60417,tt0572180,ENT,Bound,4,17,2005-04-15,6.8,1810.0,-1.0037072407044607
60225,tt0572181,ENT,Bounty,2,25,2003-05-14,6.9,1781.0,-0.8546719231453127
60108,tt0572182,ENT,Breaking the Ice,1,8,2001-11-07,7.1,2172.0,-0.5566012880270192
60217,tt0572185,ENT,Canamar,2,17,2003-02-26,6.8,1804.0,-1.0037072407044607
60202,tt0572186,ENT,Carbon Creek,2,2,2002-09-25,8.5,2729.0,1.5298931578010435
60311,tt0572187,ENT,Carpenter Street,3,11,2003-11-26,7.4,1982.0,-0.10949533534957627
60215,tt0572188,ENT,Cease Fire,2,15,2003-02-12,7.9,1997.0,0.6356812524461601
60312,tt0572189,ENT,Chosen Realm,3,12,2004-01-14,6.7,1883.0,-1.1527425582636075
60109,tt0572190,ENT,Civilization,1,9,2001-11-14,7.2,2216.0,-0.40756597046787113
60222,tt0572191,ENT,Cogenitor,2,22,2003-04-30,7.6,2305.0,0.18857529976871726
60111,tt0572192,ENT,Cold Front,1,11,2001-11-28,7.6,2158.0,0.18857529976871726
60405,tt0572193,ENT,Cold Station 12,4,5,2004-11-05,7.7,1832.0,0.33761061732786535
60323,tt0572194,ENT,Countdown,3,23,2004-05-19,8.5,1824.0,1.5298931578010435
60410,tt0572195,ENT,Daedalus,4,10,2005-01-14,6.2,1793.0,-1.897919146059344
60319,tt0572196,ENT,Damage,3,19,2004-04-21,8.1,1859.0,0.9337518875644537
60213,tt0572197,ENT,Dawn,2,13,2003-01-08,7.3,1897.0,-0.25853065290872435
60204,tt0572198,ENT,Dead Stop,2,4,2002-10-09,8.0,2192.0,0.7847165700053069
60113,tt0572199,ENT,Dear Doctor,1,13,2002-01-23,8.0,2410.0,0.7847165700053069
60420,tt0572200,ENT,Demons,4,20,2005-05-06,7.6,1744.0,0.18857529976871726
60124,tt0572201,ENT,Desert Crossing,1,24,2002-05-08,6.8,1924.0,-1.0037072407044607
60121,tt0572202,ENT,Detained,1,21,2002-04-24,7.3,1976.0,-0.25853065290872435
60416,tt0572203,ENT,Divergence,4,16,2005-02-25,7.9,1737.0,0.6356812524461601
60316,tt0572204,ENT,Doctor’s Orders,3,16,2004-02-18,7.4,1887.0,-0.10949533534957627
60321,tt0572205,ENT,E²,3,21,2004-05-05,7.9,1897.0,0.6356812524461601
60306,tt0572206,ENT,Exile,3,6,2003-10-15,6.8,1823.0,-1.0037072407044607
60303,tt0572207,ENT,Extinction,3,3,2003-09-24,6.0,1918.0,-2.195989781177639
60123,tt0572208,ENT,Fallen Hero,1,23,2002-05-08,8.0,2129.0,0.7847165700053069
60103,tt0572209,ENT,Fight or Flight,1,3,2001-10-03,7.0,2339.0,-0.7056366055861659
60224,tt0572210,ENT,First Flight,2,24,2003-05-14,7.5,1912.0,0.039539982209570494
60110,tt0572211,ENT,Fortunate Son,1,10,2001-11-21,6.5,2102.0,-1.4508131933819024
60117,tt0572212,ENT,Fusion,1,17,2002-02-27,7.0,2047.0,-0.7056366055861659
60216,tt0572213,ENT,Future Tense,2,16,2003-02-19,8.1,1975.0,0.9337518875644537
60315,tt0572214,ENT,Harbinger,3,15,2004-02-11,7.3,1870.0,-0.25853065290872435
60317,tt0572215,ENT,Hatchery,3,17,2004-02-25,6.6,1783.0,-1.3017778758227556
60403,tt0572216,ENT,Home,4,3,2004-10-22,7.8,2482.0,0.48664593488701213
60220,tt0572217,ENT,Horizon,2,20,2003-04-16,6.5,1805.0,-1.4508131933819024
60305,tt0572218,ENT,Impulse,3,5,2003-10-08,7.4,1912.0,-0.10949533534957627
60418,tt0572219,ENT,"In a Mirror, Darkly",4,18,2005-04-22,8.2,2284.0,1.0827872051236005
60419,tt0572220,ENT,"In a Mirror, Darkly, Part II",4,19,2005-04-29,8.1,2151.0,0.9337518875644537
60219,tt0572221,ENT,Judgment,2,19,2003-04-09,7.6,1944.0,0.18857529976871726
60409,tt0572222,ENT,Kir’Shara,4,9,2004-12-03,8.4,1879.0,1.3808578402418967
60206,tt0572223,ENT,Marauders,2,6,2002-10-30,6.6,1967.0,-1.3017778758227556
60203,tt0572224,ENT,Minefield,2,3,2002-10-02,7.4,2033.0,-0.10949533534957627
60309,tt0572225,ENT,North Star,3,9,2003-11-12,6.9,2004.0,-0.8546719231453127
60120,tt0572226,ENT,Oasis,1,20,2002-04-03,7.0,2020.0,-0.7056366055861659
60211,tt0572227,ENT,Precious Cargo,2,11,2002-12-11,6.4,2014.0,-1.5998485109410492
60313,tt0572228,ENT,Proving Ground,3,13,2004-01-21,8.4,1997.0,1.3808578402418967
