series_id,series_title,series_begin,series_end
4,Star Trek: Deep Space Nine,1993-01-03,1999-06-02
8,Star Trek: Discovery,2017-09-24,2024-05-30
6,Star Trek: Enterprise,2001-09-26,2005-05-13
11,Star Trek: Lower Decks,2020-08-06,2024-12-19
10,Star Trek: Picard,2020-01-23,2023-04-20
12,Star Trek: Prodigy,2021-10-28,2024-07-01
9,Star Trek: Short Treks,2018-10-04,2020-01-09
14,Star Trek: Strange New Worlds,2022-05-05,
2,Star Trek: The Animated Series,1973-09-08,1974-10-12
3,Star Trek: The Next Generation,1987-09-28,1994-05-23
1,Star Trek: The Original Series,1966-09-08,1969-06-03
5,Star Trek: Voyager,1995-01-16,2001-05-23
